Unnamed: 0,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Evolution
0,sdv-pii-64jr8,Dragon,Psychic,13,80,68,121,26,62,4,False,2.0
1,sdv-pii-xnuld,Fairy,Steel,87,157,15,29,35,107,2,False,2.0
2,sdv-pii-23pgo,Ground,Electric,77,23,39,78,27,95,4,False,2.0
3,sdv-pii-8mult,Bug,Water,57,134,24,68,119,106,4,False,3.0
4,sdv-pii-pjbi7,Fire,Ground,73,120,80,81,52,105,3,True,1.0
5,sdv-pii-7vpuk,Bug,Flying,46,71,85,49,133,114,4,False,3.0
6,sdv-pii-eq1bg,Ice,Ground,76,129,157,92,98,73,3,False,2.0
7,sdv-pii-pi5no,Water,,98,190,54,10,97,90,3,False,3.0
8,sdv-pii-5ssnu,Poison,,67,122,85,48,55,180,3,False,0.0
9,sdv-pii-p91fa,Electric,Flying,97,130,142,97,136,55,6,False,0.0
10,sdv-pii-10nf3,Psychic,Fairy,46,98,106,98,36,135,5,False,0.0
11,sdv-pii-par9x,Steel,,117,169,141,93,69,95,6,False,3.0
12,sdv-pii-ur2g3,Grass,Psychic,69,67,45,37,161,24,4,False,0.0
13,sdv-pii-5qkyp,Steel,Ghost,75,139,29,148,20,84,1,True,1.0
14,sdv-pii-974g7,Ghost,,53,24,55,152,38,117,5,False,0.0
15,sdv-pii-o7or7,Electric,Dragon,87,107,78,148,20,133,3,False,1.0
16,sdv-pii-o5drt,Fairy,,68,133,140,179,84,133,3,False,2.0
17,sdv-pii-9siop,Water,Ghost,42,87,49,50,85,180,3,False,3.0
18,sdv-pii-yegem,Grass,Fairy,62,95,73,114,37,73,5,False,0.0
19,sdv-pii-wc2ci,Ground,Rock,73,68,53,50,115,82,3,False,3.0
20,sdv-pii-e96ik,Rock,Poison,51,98,43,173,41,134,3,False,5.0
21,sdv-pii-bc02p,Ghost,Poison,83,138,230,129,121,107,3,True,5.0
22,sdv-pii-jvu5k,Grass,,74,88,23,185,63,108,3,True,0.0
23,sdv-pii-hfjqw,Water,,85,104,5,114,20,117,6,False,2.0
24,sdv-pii-5l74h,Electric,Ice,44,161,175,88,94,112,3,False,2.0
25,sdv-pii-dm4l6,Electric,Steel,113,139,62,12,113,78,6,False,5.0
26,sdv-pii-e6gae,Flying,Electric,123,61,129,61,65,130,6,False,1.0
27,sdv-pii-7llrb,Water,,39,45,21,36,34,148,3,False,0.0
28,sdv-pii-7jwsu,Water,,77,33,30,20,38,98,4,False,1.0
29,sdv-pii-6wjjf,Normal,Flying,46,155,76,43,99,86,3,False,2.0
30,sdv-pii-tsmeh,Normal,Ice,49,177,76,43,101,142,2,False,3.0
31,sdv-pii-zzpw3,Normal,Normal,88,100,75,147,198,123,5,True,2.0
32,sdv-pii-rhvw4,Water,,74,159,81,74,61,91,5,False,3.0
33,sdv-pii-hyweq,Bug,,69,182,58,10,89,147,2,False,2.0
34,sdv-pii-6v43q,Electric,Flying,71,27,81,61,88,33,4,False,0.0
35,sdv-pii-0ix96,Water,Dark,99,190,148,119,24,81,6,False,2.0
36,sdv-pii-ml2xd,Rock,Electric,65,22,63,52,77,32,3,True,2.0
37,sdv-pii-ormmk,Dragon,Psychic,62,112,101,90,55,137,3,False,2.0
38,sdv-pii-6b2ee,Ice,Ground,60,142,37,148,150,135,1,False,0.0
39,sdv-pii-nstuv,Ground,,86,45,40,54,65,105,1,False,2.0
40,sdv-pii-8hiin,Rock,,82,112,44,24,136,33,2,False,1.0
41,sdv-pii-85pua,Water,Grass,22,96,107,55,45,117,3,False,0.0
42,sdv-pii-vn0uz,Rock,Poison,110,88,87,17,48,63,1,True,0.0
43,sdv-pii-jj4da,Rock,,96,157,42,13,49,133,1,True,0.0
44,sdv-pii-di0h9,Grass,Psychic,189,173,106,176,69,50,5,False,3.0
45,sdv-pii-uciau,Fire,Dragon,132,109,21,62,172,73,2,False,0.0
46,sdv-pii-rofu9,Ice,Psychic,89,140,145,26,159,59,3,False,5.0
47,sdv-pii-snnst,Ice,Flying,124,119,30,13,73,135,3,False,2.0
48,sdv-pii-xbzyz,Electric,Psychic,58,66,138,20,86,131,1,True,2.0
49,sdv-pii-x56fc,Bug,Ghost,99,92,106,45,49,67,5,False,0.0
50,sdv-pii-cfvve,Bug,Flying,77,68,151,102,78,113,1,False,2.0
51,sdv-pii-g09og,Psychic,Fire,35,60,44,49,40,140,3,False,3.0
52,sdv-pii-gy47j,Flying,Electric,56,172,10,48,26,94,2,False,3.0
53,sdv-pii-biigw,Electric,Flying,44,5,87,134,20,117,6,False,2.0
54,sdv-pii-umjrm,Dragon,,74,45,11,50,27,165,2,False,5.0
55,sdv-pii-xfp3w,Water,Dark,67,53,230,29,81,78,5,False,0.0
56,sdv-pii-9shgx,Psychic,Flying,46,101,91,33,119,70,1,True,2.0
57,sdv-pii-1986l,Dark,Fairy,137,106,52,89,176,93,3,False,1.0
58,sdv-pii-kaphd,Bug,Grass,94,162,113,74,109,83,4,False,5.0
59,sdv-pii-1gvzh,Fairy,Psychic,88,168,62,122,100,58,6,False,0.0
60,sdv-pii-bf48k,Fire,Dark,62,47,84,84,108,119,3,False,0.0
61,sdv-pii-j36it,Water,,76,92,31,10,57,122,4,False,1.0
62,sdv-pii-rb7a5,Fairy,Psychic,73,190,5,57,51,116,2,False,0.0
