Unnamed: 0,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Evolution
0,sdv-pii-64jr8,Ground,Dragon,81,93,99,88,83,71,6,False,0.0
1,sdv-pii-xnuld,Water,,32,24,29,43,34,39,1,False,1.0
2,sdv-pii-23pgo,Dark,,45,28,22,35,27,71,5,False,1.0
3,sdv-pii-8mult,Fire,,80,101,80,135,129,64,1,False,2.0
4,sdv-pii-pjbi7,Fighting,,57,74,43,71,71,79,3,False,1.0
5,sdv-pii-7vpuk,Dark,Flying,46,118,88,78,33,55,2,False,1.0
6,sdv-pii-eq1bg,Normal,,65,75,83,31,39,99,1,False,2.0
7,sdv-pii-pi5no,Water,Flying,55,75,101,95,85,109,3,False,5.0
8,sdv-pii-5ssnu,Water,,40,88,107,79,114,92,2,False,5.0
9,sdv-pii-p91fa,Rock,Psychic,69,102,99,36,73,21,3,False,1.0
10,sdv-pii-10nf3,Normal,,22,29,42,10,21,48,6,False,1.0
11,sdv-pii-par9x,Flying,Dragon,71,89,116,40,104,114,1,False,0.0
12,sdv-pii-ur2g3,Ghost,,42,39,81,28,71,39,2,False,1.0
13,sdv-pii-5qkyp,Fighting,Flying,103,111,55,87,118,109,4,False,2.0
14,sdv-pii-974g7,Steel,,51,35,58,32,52,53,2,False,2.0
15,sdv-pii-o7or7,Normal,,37,22,53,71,49,34,1,False,2.0
16,sdv-pii-o5drt,Grass,,67,32,87,52,90,28,5,False,2.0
17,sdv-pii-9siop,Fire,Poison,76,49,70,91,69,56,5,False,2.0
18,sdv-pii-yegem,Normal,,21,18,15,46,53,96,4,False,1.0
19,sdv-pii-wc2ci,Ghost,Water,91,118,126,62,49,32,4,True,2.0
20,sdv-pii-e96ik,Water,,82,83,48,58,33,80,3,False,2.0
21,sdv-pii-bc02p,Grass,,71,85,114,104,101,32,3,True,2.0
22,sdv-pii-jvu5k,Water,Steel,23,51,72,61,45,83,2,False,1.0
23,sdv-pii-hfjqw,Bug,Flying,78,121,82,63,63,44,1,False,1.0
24,sdv-pii-5l74h,Water,Fire,131,80,88,119,78,76,3,True,2.0
25,sdv-pii-dm4l6,Fairy,,55,34,61,45,74,63,3,False,2.0
26,sdv-pii-e6gae,Fire,,67,35,31,69,69,56,3,False,2.0
27,sdv-pii-7llrb,Rock,,87,72,69,58,71,67,6,False,0.0
28,sdv-pii-7jwsu,Electric,Grass,80,72,48,53,92,83,3,False,2.0
29,sdv-pii-6wjjf,Rock,,90,45,44,84,72,14,5,False,2.0
30,sdv-pii-tsmeh,Normal,Psychic,53,105,115,83,58,65,2,False,2.0
31,sdv-pii-zzpw3,Electric,Flying,58,61,136,80,78,80,2,False,0.0
32,sdv-pii-rhvw4,Ghost,Flying,43,72,46,34,20,72,1,False,1.0
33,sdv-pii-hyweq,Poison,,69,67,46,85,49,75,4,False,2.0
34,sdv-pii-6v43q,Grass,Fighting,126,115,85,80,72,71,3,False,2.0
35,sdv-pii-0ix96,Poison,,75,85,67,97,58,83,4,False,1.0
36,sdv-pii-ml2xd,Dragon,Poison,104,139,133,124,97,72,6,False,0.0
37,sdv-pii-ormmk,Water,,75,80,111,58,63,25,2,False,2.0
38,sdv-pii-6b2ee,Water,Poison,56,72,48,104,75,87,2,False,2.0
39,sdv-pii-nstuv,Rock,Bug,160,115,85,179,172,146,6,False,0.0
40,sdv-pii-8hiin,Fire,Fighting,50,56,40,52,39,47,1,False,1.0
41,sdv-pii-85pua,Steel,Ground,52,69,75,131,52,60,2,False,5.0
42,sdv-pii-vn0uz,Fairy,Flying,41,26,12,49,20,77,6,False,1.0
43,sdv-pii-jj4da,Bug,,41,101,77,59,32,46,1,False,1.0
44,sdv-pii-di0h9,Ice,Flying,58,75,45,90,94,104,4,False,2.0
45,sdv-pii-uciau,Bug,Fairy,94,105,65,187,114,87,3,False,0.0
46,sdv-pii-rofu9,Steel,,98,88,116,86,140,83,2,False,0.0
47,sdv-pii-snnst,Normal,Poison,69,110,99,74,70,74,1,False,2.0
48,sdv-pii-xbzyz,Grass,,80,37,49,63,95,47,1,False,2.0
49,sdv-pii-x56fc,Grass,Psychic,51,61,35,67,69,109,1,False,2.0
50,sdv-pii-cfvve,Electric,,88,53,102,63,67,58,5,False,2.0
51,sdv-pii-g09og,Fire,,43,64,65,52,73,31,1,False,1.0
52,sdv-pii-gy47j,Rock,Flying,114,142,115,84,75,95,5,False,3.0
53,sdv-pii-biigw,Normal,,103,129,160,90,147,49,5,True,3.0
54,sdv-pii-umjrm,Grass,Poison,82,112,91,84,57,66,5,True,3.0
55,sdv-pii-xfp3w,Rock,Dark,64,80,80,55,63,76,5,False,0.0
56,sdv-pii-9shgx,Grass,Ice,24,65,27,23,43,96,2,False,1.0
57,sdv-pii-1986l,Grass,,43,89,75,59,32,64,1,False,2.0
58,sdv-pii-kaphd,Dark,Fighting,65,94,75,77,55,53,3,False,2.0
59,sdv-pii-1gvzh,Water,Psychic,23,44,78,38,50,41,3,False,1.0
60,sdv-pii-bf48k,Bug,Poison,41,32,37,52,49,40,4,False,1.0
61,sdv-pii-j36it,Bug,Flying,42,91,101,89,103,73,2,False,0.0
62,sdv-pii-rb7a5,Bug,Fighting,75,67,114,73,83,72,4,False,2.0
63,sdv-pii-k1kq0,Ice,Ghost,77,141,103,38,41,23,4,False,1.0
64,sdv-pii-caqoo,Water,,141,97,79,88,68,91,4,False,0.0
65,sdv-pii-z2f70,Psychic,Dark,105,130,120,136,91,45,5,False,0.0
66,sdv-pii-br5br,Bug,Ghost,80,64,86,33,78,41,6,False,2.0
67,sdv-pii-fugvo,Fire,Poison,56,71,97,50,106,77,1,False,5.0
68,sdv-pii-rg36l,Grass,Flying,109,99,102,89,95,65,5,False,1.0
69,sdv-pii-9o3sw,Steel,Water,35,45,73,69,43,36,4,False,1.0
70,sdv-pii-j14bf,Dark,Flying,80,63,85,51,89,27,6,False,2.0
71,sdv-pii-6k2qd,Water,,51,69,20,35,20,67,5,False,1.0
72,sdv-pii-nvt7e,Water,Fighting,75,116,93,91,68,92,3,False,0.0
73,sdv-pii-8tkqm,Flying,,54,27,39,46,43,62,5,True,1.0
74,sdv-pii-yf41r,Grass,,57,61,58,122,50,109,5,False,2.0
75,sdv-pii-lyy4v,Normal,Dragon,53,51,62,40,54,64,5,True,1.0
76,sdv-pii-wkyfl,Grass,,41,67,81,79,64,91,1,False,2.0
77,sdv-pii-g7g28,Dark,Steel,71,173,172,130,87,82,4,True,2.0
78,sdv-pii-tubxx,Electric,Steel,101,59,61,60,70,39,3,True,2.0
79,sdv-pii-k880d,Normal,Psychic,33,45,60,75,68,95,3,False,1.0
80,sdv-pii-0kj10,Ground,Flying,73,62,49,122,98,94,4,True,2.0
81,sdv-pii-8dwjm,Ground,,138,61,119,53,115,15,6,False,2.0
82,sdv-pii-4xoge,Bug,,65,73,50,80,69,79,1,False,0.0
83,sdv-pii-6ynja,Ghost,,97,32,62,81,116,83,2,False,0.0
84,sdv-pii-2zw9u,Rock,,59,104,139,56,100,83,5,False,3.0
85,sdv-pii-ir9n3,Ground,Psychic,38,79,83,66,74,56,2,True,2.0
86,sdv-pii-8j9au,Psychic,Ground,40,85,115,23,41,27,2,False,2.0
87,sdv-pii-ie4th,Dark,,39,59,32,20,38,41,3,False,1.0
88,sdv-pii-c04fz,Bug,Ground,74,48,64,62,57,42,2,False,1.0
89,sdv-pii-ahh0a,Ice,Steel,136,181,160,109,126,110,3,False,0.0
90,sdv-pii-wh6gh,Rock,,47,103,101,75,90,77,3,False,1.0
91,sdv-pii-1x5d7,Psychic,,113,68,82,80,92,69,4,False,1.0
92,sdv-pii-xlcr3,Water,Flying,71,67,56,67,43,35,4,False,1.0
93,sdv-pii-9v289,Ghost,,48,92,75,70,72,81,3,True,3.0
94,sdv-pii-c7ati,Water,,63,53,57,53,81,50,3,False,1.0
95,sdv-pii-1fsyt,Rock,,143,97,108,163,162,78,6,False,5.0
96,sdv-pii-f8mhz,Water,Poison,85,38,79,56,117,26,3,True,2.0
97,sdv-pii-ph30u,Bug,Dragon,68,62,46,45,68,37,5,False,2.0
98,sdv-pii-pjhcv,Water,,32,30,37,71,31,72,4,False,1.0
99,sdv-pii-9lkgd,Steel,Dark,58,142,132,63,73,89,6,False,2.0
