,Name_open_ai,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Evolution,Total
50,Electrofreeze,Electric,Ice,64,119,133,81,185,135,6,False,Mega,717
51,Normarrior,)Normal,,54,47,64,43,107,77,5,False,Stage1,392
52,Grasslash,Grass,,48,117,49,80,59,26,4,False,Basic,379
53,Electrozap,Electric,,75,150,150,92,189,101,1,True,Basic,757
54,Dragrass,Dragon,Grass,69,66,99,39,91,137,1,False,Basic,501
55,Psychotron,Dark,Psychic,158,110,134,146,155,73,4,True,Basic,776
56,Florine,Water,Fairy,19,29,58,61,81,107,6,False,Stage1,355
57,Fairyswift,Fairy,Flying,94,91,71,123,106,101,2,False,Mega,586
58,Terradon,Ground,,50,64,57,30,31,101,2,False,Basic,333
59,Mentallax,Psychic,,120,125,92,127,166,106,3,True,Basic,736
60,Flareagle,Fire,Flying,158,115,89,98,102,57,3,False,Mega,619
61,Darkwing,Flying,Dark,71,80,89,156,110,101,3,True,Mega,607
62,Hydrorush,Water,,33,58,52,80,87,66,4,False,Basic,376
63,Darkwing,Dark,Flying,72,118,71,72,42,9,4,False,Stage1,384
64,Insectrox,Bug,,68,98,73,63,33,34,4,False,Basic,369
65,Aquarock,Water,Rock,67,107,97,21,90,101,2,False,Basic,483
66,Dragice,Ice,Dragon,51,73,84,36,75,71,2,False,Basic,390
67,Sandshaker,Ground,,67,124,18,49,22,127,5,False,Basic,407
68,Fairytide,Water,Fairy,18,59,66,57,52,36,6,False,Basic,288
69,Toxiground,Poison,Ground,96,190,141,67,94,121,1,False,Mega,709
70,Buground,Bug,Ground,56,47,102,76,96,59,1,False,Stage1,436
71,Stonemauler,Rock,,65,80,61,49,27,44,1,False,Stage2,326
72,Florwing,Grass,Flying,89,47,68,56,89,76,4,False,Basic,425
73,Flamice,Fire,Ice,118,119,77,144,120,151,4,False,Mega,729
74,Rumblestrike,Rock,Fighting,75,59,138,62,132,56,6,False,Mega,522
75,Normanox,Normal,,50,134,53,46,68,87,5,False,Basic,438
76,Normarax,Normal,,59,64,92,76,85,39,3,False,Stage1,415
77,Flapster,Flying,,47,31,38,48,74,40,1,False,Basic,278
78,Spectrify,Ghost,,54,39,39,48,167,61,3,False,Stage1,408
79,Normaniac,Normal,,19,68,39,44,20,5,1,False,Basic,195
80,Terradon,Ground,,81,153,133,125,92,40,1,False,Stage1,624
81,Steelight,Fighting,Steel,112,86,126,46,88,71,6,False,Stage2,529
82,Grassormal,Grass,Normal,95,90,84,50,49,68,1,False,Stage1,436
83,Flamasteel,Fire,Steel,72,81,75,56,71,113,6,False,Stage1,468
84,Normanox,Normal,,43,64,34,23,39,93,2,False,Basic,296
85,Flamagon,Dark,Fire,63,110,71,178,96,120,1,False,Mega,638
86,Aquarift,Water,,52,34,40,37,70,75,2,False,Basic,308
87,Aquarock,Water,Rock,109,100,61,60,92,52,5,False,Mega,474
88,Dragairon,Dragon,Flying,67,83,69,69,82,66,6,False,Basic,436
89,Dragorin,Dragon,,44,77,115,143,82,98,1,True,Basic,559
90,Toxikick,Poison,Fighting,72,70,61,132,86,172,1,False,Stage2,593
91,Fluffletail,Fairy,,69,10,29,73,36,75,5,False,Basic,292
92,Toxikron,Poison,,49,106,118,34,54,147,3,True,Basic,508
93,Toxikritter,Poison,,36,26,53,37,63,66,1,False,Basic,281
94,Aquamara,Water,Flying,36,46,44,88,55,123,5,False,Basic,392
95,Darkorax,Dark,,124,85,69,120,80,21,3,False,Basic,499
96,Fairythorn,Dark,Fairy,56,69,64,128,95,169,4,False,Stage2,581
97,Fairysplash,Water,Fairy,38,124,95,52,80,141,1,False,Stage1,530
98,Toxikick,Poison,Fighting,35,15,65,94,106,19,5,False,Stage1,334
99,Ghastlyvine,Grass,Ghost,58,45,21,128,49,129,2,False,Stage1,430
100,Dragorin,Dragon,,54,71,34,117,92,82,4,False,Basic,450
101,Aquapsy,Water,Psychic,104,115,95,49,91,33,4,False,Stage1,487
102,Aquamara,Water,Flying,77,144,118,109,169,116,6,True,Basic,733
103,Normafly,Normal,Flying,88,72,91,122,133,85,3,False,Stage1,591
104,Norwing,Normal,Flying,67,65,112,51,80,139,4,False,Basic,514
105,Terradon,Ground,,38,76,46,88,64,33,1,False,Basic,345
106,Toxibug,Bug,Poison,37,75,76,67,106,56,6,False,Mega,417
107,Grasslash,Grass,,28,53,23,44,26,12,2,False,Basic,186
108,Draghast,Ghost,Dragon,35,88,77,42,64,81,1,False,Stage1,387
109,Fluffwing,)Normal,Flying,73,65,36,85,48,23,3,False,Basic,330
110,Electrozap,Electric,,96,46,25,87,41,90,2,False,Stage2,385
111,Dragvolt,Electric,Dragon,40,107,225,155,83,97,6,False,Stage1,707
