,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Generation,Type 1,Type 2,Evolution,Total
0,46.0,47.0,43.0,40.0,44.0,39.0,False,2,Dark,Fighting,Mega,259.0
1,95.0,111.0,105.0,69.0,100.0,97.0,True,1,Fire,Bug,Basic,577.0
2,95.0,111.0,105.0,40.0,100.0,39.0,False,5,)Normal,Bug,Stage1,490.0
3,44.0,111.0,43.0,105.0,44.0,97.0,True,1,Bug,Fire,Mega,444.0
4,44.0,92.0,43.0,106.0,44.0,96.0,True,1,Bug,Rock,Basic,425.0
5,44.0,111.0,103.0,106.0,45.0,97.0,True,1,Normal,Rock,Stage1,506.0
6,44.0,47.0,43.0,106.0,44.0,39.0,True,5,Bug,Grass,Stage1,323.0
7,95.0,111.0,105.0,103.0,100.0,97.0,True,3,)Normal,Steel,Basic,611.0
8,44.0,47.0,43.0,104.0,44.0,39.0,False,6,Ghost,Fairy,Stage2,321.0
9,44.0,102.0,105.0,106.0,45.0,97.0,True,3,Fire,Dragon,Stage1,499.0
10,44.0,47.0,43.0,67.0,44.0,39.0,True,6,Ghost,Fairy,Stage2,284.0
11,95.0,111.0,105.0,70.0,100.0,97.0,True,3,Steel,Steel,Stage1,578.0
12,44.0,111.0,43.0,106.0,44.0,97.0,True,1,Bug,Psychic,Basic,445.0
13,44.0,95.0,44.0,105.0,44.0,39.0,True,6,Water,None,Mega,371.0
14,65.0,111.0,105.0,106.0,44.0,97.0,True,1,Bug,Grass,Basic,528.0
15,44.0,47.0,43.0,106.0,44.0,97.0,True,6,Bug,Ghost,Basic,381.0
16,44.0,47.0,44.0,104.0,44.0,88.0,False,3,Ice,Ghost,Stage2,371.0
17,44.0,111.0,105.0,106.0,52.0,97.0,True,1,Fire,Fairy,Basic,515.0
18,95.0,111.0,105.0,105.0,100.0,97.0,True,1,Fire,Ice,Basic,613.0
19,95.0,111.0,105.0,40.0,100.0,39.0,False,1,Rock,Fighting,Mega,490.0
20,95.0,111.0,105.0,40.0,98.0,97.0,False,1,Rock,Fighting,Mega,546.0
21,44.0,47.0,43.0,106.0,44.0,96.0,True,5,Poison,Fairy,Stage1,380.0
22,95.0,111.0,105.0,40.0,100.0,97.0,False,1,Fire,Ice,Stage1,548.0
23,44.0,47.0,43.0,106.0,44.0,44.0,True,2,Poison,Fairy,Basic,328.0
24,44.0,111.0,105.0,106.0,69.0,97.0,True,1,Normal,Fire,Mega,532.0
25,95.0,111.0,105.0,40.0,100.0,97.0,False,3,Fire,Bug,Stage1,548.0
26,44.0,84.0,43.0,106.0,44.0,96.0,True,1,Bug,Psychic,Basic,417.0
27,44.0,47.0,43.0,106.0,44.0,46.0,False,5,Ghost,Fairy,Stage2,330.0
28,44.0,47.0,43.0,105.0,44.0,39.0,False,6,)Normal,Dragon,Stage2,322.0
29,44.0,54.0,43.0,106.0,44.0,97.0,True,1,Bug,Psychic,Basic,388.0
30,95.0,111.0,105.0,40.0,100.0,39.0,False,1,)Normal,Bug,Basic,490.0
31,44.0,49.0,62.0,106.0,45.0,97.0,True,2,Flying,Fairy,Stage1,403.0
32,44.0,111.0,95.0,106.0,44.0,97.0,True,6,Ice,Ghost,Basic,497.0
33,44.0,111.0,105.0,106.0,44.0,97.0,True,3,Fire,Dragon,Basic,507.0
34,95.0,111.0,105.0,47.0,100.0,77.0,False,3,Rock,Steel,Stage1,535.0
35,44.0,47.0,43.0,106.0,44.0,40.0,False,2,Poison,Fairy,Stage2,324.0
36,44.0,111.0,58.0,105.0,44.0,97.0,True,1,Fighting,Psychic,Basic,459.0
37,44.0,50.0,54.0,100.0,44.0,39.0,True,6,Ice,Fighting,Stage2,331.0
38,44.0,47.0,43.0,106.0,44.0,46.0,True,2,Flying,Fairy,Stage2,330.0
39,74.0,111.0,105.0,106.0,99.0,97.0,True,3,)Normal,Dragon,Mega,592.0
40,44.0,106.0,43.0,106.0,44.0,97.0,True,6,Poison,Psychic,Stage1,440.0
41,44.0,111.0,105.0,106.0,44.0,97.0,True,6,Poison,Ghost,Basic,507.0
42,44.0,111.0,105.0,106.0,44.0,97.0,True,1,Fighting,Flying,Stage1,507.0
43,95.0,111.0,105.0,103.0,100.0,97.0,True,3,)Normal,Fighting,Stage1,611.0
44,44.0,110.0,46.0,106.0,44.0,97.0,True,1,Flying,Fairy,Stage1,447.0
45,95.0,111.0,105.0,40.0,44.0,39.0,False,5,Ice,Bug,Stage1,434.0
46,95.0,111.0,105.0,106.0,100.0,97.0,True,3,Ground,Dragon,Stage1,614.0
47,91.0,111.0,105.0,106.0,100.0,97.0,True,3,Fire,Dragon,Stage1,610.0
48,44.0,98.0,51.0,106.0,44.0,97.0,True,2,Flying,Fairy,Basic,440.0
49,95.0,111.0,105.0,106.0,100.0,97.0,True,3,Fire,Water,Stage1,614.0
50,44.0,47.0,43.0,106.0,44.0,39.0,True,5,Ghost,Fairy,Stage2,323.0
51,44.0,47.0,43.0,106.0,44.0,40.0,True,6,Bug,Ghost,Stage1,324.0
52,44.0,47.0,43.0,98.0,44.0,40.0,True,6,Bug,Fire,Stage2,316.0
53,44.0,111.0,48.0,78.0,44.0,96.0,True,6,Dark,Grass,Stage1,421.0
54,44.0,102.0,43.0,104.0,44.0,86.0,True,6,Water,Steel,Stage1,423.0
55,44.0,61.0,49.0,106.0,44.0,39.0,True,3,Water,Dragon,Stage1,343.0
56,44.0,111.0,98.0,40.0,44.0,39.0,False,4,Rock,Steel,Stage1,376.0
57,44.0,104.0,104.0,106.0,44.0,97.0,True,2,Water,Dragon,Stage1,499.0
58,44.0,111.0,43.0,106.0,44.0,97.0,True,1,Fighting,Fairy,Stage1,445.0
59,95.0,111.0,105.0,40.0,93.0,89.0,False,1,Rock,Steel,Mega,533.0
60,44.0,47.0,43.0,106.0,44.0,42.0,True,2,Flying,Fairy,Stage2,326.0
61,44.0,47.0,43.0,106.0,44.0,47.0,True,2,Water,Fairy,Basic,331.0
62,93.0,111.0,105.0,42.0,91.0,40.0,False,3,)Normal,Water,Basic,482.0
63,44.0,50.0,43.0,106.0,44.0,97.0,True,2,Bug,Psychic,Stage1,384.0
64,44.0,47.0,43.0,106.0,44.0,95.0,True,6,Bug,Fairy,Stage2,379.0
65,44.0,111.0,105.0,106.0,61.0,97.0,True,1,Fire,None,Basic,524.0
66,44.0,83.0,65.0,106.0,44.0,97.0,True,5,Bug,Fairy,Stage1,439.0
67,95.0,111.0,105.0,40.0,63.0,39.0,False,3,Rock,Steel,Stage1,453.0
68,44.0,47.0,43.0,106.0,44.0,44.0,True,2,Flying,Fairy,Stage2,328.0
69,44.0,111.0,105.0,106.0,96.0,97.0,True,1,Fire,None,Mega,559.0
70,95.0,111.0,105.0,40.0,100.0,39.0,False,2,)Normal,Bug,Basic,490.0
71,44.0,66.0,105.0,106.0,100.0,97.0,True,2,)Normal,Dragon,Stage1,518.0
72,94.0,111.0,105.0,106.0,100.0,97.0,True,3,Fire,Dragon,Basic,613.0
73,44.0,111.0,105.0,105.0,44.0,97.0,True,1,Dragon,Ghost,Basic,506.0
74,44.0,111.0,45.0,71.0,44.0,97.0,False,1,Fairy,Fire,Basic,412.0
75,95.0,111.0,105.0,45.0,46.0,40.0,False,3,Rock,Steel,Basic,442.0
